Date,Description,Amount,Type
2024-01-05,SALARY CREDIT - ACME CORP,5000.00,credit
2024-01-06,STARBUCKS DOWNTOWN,-5.50,debit
2024-01-07,WHOLE FOODS MARKET,-125.30,debit
2024-01-08,UBER RIDE,-18.75,debit
2024-01-10,AMAZON PRIME SUBSCRIPTION,-14.99,debit
2024-01-12,SHELL GAS STATION,-45.00,debit
2024-01-13,NETFLIX SUBSCRIPTION,-15.99,debit
2024-01-14,WALMART GROCERY,-89.45,debit
2024-01-15,DOMINOS PIZZA,-32.50,debit
2024-01-18,CVS PHARMACY,-28.90,debit
2024-01-19,METRO CARD RECHARGE,-50.00,debit
2024-01-20,COFFEE SHOP,-4.25,debit
2024-01-22,TARGET SHOPPING,-67.80,debit
2024-01-24,SPOTIFY SUBSCRIPTION,-9.99,debit
2024-01-25,CHIPOTLE RESTAURANT,-15.20,debit
2024-01-27,AT&T MOBILE BILL,-75.00,debit
2024-01-28,RED CROSS DONATION,-25.00,debit
2024-01-30,TRADER JOES GROCERY,-98.55,debit
2024-02-01,FREELANCE PAYMENT,1200.00,credit
2024-02-03,ZOMATO FOOD ORDER,-28.40,debit
2024-02-05,UBER EATS DELIVERY,-35.60,debit
2024-02-08,GYM MEMBERSHIP,-49.99,debit
2024-02-10,BARNES & NOBLE BOOKS,-42.30,debit
2024-02-12,CINEMA TICKET,-18.50,debit
2024-02-14,FLOWERS DELIVERY,-55.00,debit
2024-02-16,COSTCO SHOPPING,-156.70,debit
2024-02-18,DENTIST APPOINTMENT,-150.00,debit
2024-02-20,COMCAST INTERNET,-89.99,debit
2024-02-22,STEAM GAMES,-59.99,debit
2024-02-24,PANERA BREAD,-12.85,debit
2024-02-26,COURSERA SUBSCRIPTION,-39.99,debit
2024-02-28,SAFEWAY GROCERY,-112.40,debit
